BehaviorSpace results (NetLogo 6.3.0);;;;;;
Bozza modello netlogo 3.14 (05.09.24).nlogo;;;;;;
prova FB;;;;;;
09/09/2024 15:28:49:772 +0200;;;;;;
"min-pxcor,""max-pxcor"",""min-pycor"",""max-pycor""";;;;;;
"-16,""16"",""-16"",""16""";;;;;;
[run number];n-companies;n-users;[step];mean [ c-sustainability ] of companies;mean [ c-quality ] of companies;bought-products
1;2;10;250;0.35293851122594627;0.7279980026948145;8
2;2;10;250;0.8051091859205625;0.3216184812009697;4
3;2;10;250;0.6655125773853771;0.6581586910253683;9
4;2;10;250;0.7317706602310698;0.7979757960265715;4
5;2;10;250;0.7505306152363704;0.5509539798396048;5
6;2;10;250;0.8010696997544205;0.4860079137679263;7
7;2;10;250;0.9789287941186522;0.23887388266813553;9
8;2;10;250;0.5867803343770105;0.7201813297114885;7
9;2;10;250;0.7611523334539788;0.614526803416592;8
10;2;10;250;0.14579639000923672;0.6642280384077413;4
11;2;50;250;0.7266880431353324;0.3997650213736063;31
12;2;50;250;0.6078848676080775;0.5234604454333353;36
13;2;50;250;0.15929984596605334;0.43853921127833567;33
14;2;50;250;0.7880938967773801;0.8747704909203027;38
15;2;50;250;0.3996625647391621;0.38539952274145467;31
16;2;50;250;0.49543364103913157;0.6006789501116959;29
17;2;50;250;0.9554376060385372;0.7872598393888929;32
18;2;50;250;0.21567425125236012;0.7063109748417609;29
19;2;50;250;0.32449909301636126;0.11606314016670088;34
20;2;50;250;0.2819016436120594;0.6658016771454773;34
21;2;250;250;0.7715612528010863;0.6269103737263664;164
22;2;250;250;0.7157756371526578;0.5487797008173954;165
23;2;250;250;0.6353310910743422;0.47027558274242637;162
24;2;250;250;0.21936876526562576;0.5764270228716382;152
25;2;250;250;0.26151094940766273;0.0704868409637121;137
26;2;250;250;0.5126013923796189;0.3738836883922433;165
27;2;250;250;0.823922178196097;0.4751859474140349;147
28;2;250;250;0.7105241185663105;0.6332755332415103;144
29;2;250;250;0.41471428794049175;0.5324268185222985;156
30;2;250;250;0.2737247764635969;0.20307238747515188;167
31;10;10;250;0.39451134185279874;0.4796426084363847;5
32;10;10;250;0.6373084837459974;0.5344822123185599;3
33;10;10;250;0.5289588361438208;0.43217965658112245;5
34;10;10;250;0.3351956204517673;0.6499498701702238;5
35;10;10;250;0.5373761613820506;0.5585672120942609;3
36;10;10;250;0.2960719419544537;0.47857154949796454;7
37;10;10;250;0.43513813886625324;0.46552266009916654;6
38;10;10;250;0.5072874553194564;0.4965911280922791;7
39;10;10;250;0.3820752239308419;0.5638009243114207;6
40;10;10;250;0.5139222123097643;0.6838040373057883;7
41;10;50;250;0.5828171481356985;0.6305538069917659;34
42;10;50;250;0.5916264978870764;0.6682217129456702;33
43;10;50;250;0.3786117588151801;0.4115644442779147;34
44;10;50;250;0.4464647337260049;0.46615629896697774;33
45;10;50;250;0.5509789815402443;0.4348711141707883;34
46;10;50;250;0.5097450466094565;0.4922211674506068;22
47;10;50;250;0.5330600900844346;0.5214773811566873;31
48;10;50;250;0.5329443861483061;0.5157309364508157;31
49;10;50;250;0.5148462245482488;0.2977733169308836;32
50;10;50;250;0.4466013943875854;0.299696562057683;36
51;10;250;250;0.37896815283679375;0.4526092511215894;151
52;10;250;250;0.5639635823978311;0.5178865402067366;165
53;10;250;250;0.436071234888357;0.2874086564392636;141
54;10;250;250;0.5276526410035404;0.47190225259197077;155
55;10;250;250;0.5475827852053222;0.4619900235845538;155
56;10;250;250;0.4654397876575718;0.43926402389951386;156
57;10;250;250;0.27175519031064943;0.29630737220883224;154
58;10;250;250;0.6349943300030177;0.6914048062753464;144
59;10;250;250;0.45645291536841376;0.42572470021770015;150
60;10;250;250;0.43062233987947335;0.5533506316926035;162
